State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
Wisconsin,Rock,2025,1,1,0,0,0,42,42,1.0,0.0
Wisconsin,Sauk,2025,90,77,13,0,0,88,27,0.8555555555555555,0.0
Wisconsin,Sheboygan,2025,1,1,0,0,0,41,41,1.0,0.0
Wisconsin,Taylor,2025,120,118,2,0,0,64,37,0.9833333333333333,0.0
Wisconsin,Vilas,2025,1,1,0,0,0,41,41,1.0,0.0
Wisconsin,Walworth,2025,1,1,0,0,0,42,42,1.0,0.0
Wisconsin,Waukesha,2025,90,69,21,0,0,85,36,0.7666666666666667,0.0
Wyoming,Albany,2025,145,91,52,2,0,144,48,0.6275862068965518,0.013793103448275862
Wyoming,Campbell,2025,120,103,17,0,0,99,39,0.8583333333333333,0.0
Wyoming,Carbon,2025,90,90,0,0,0,30,7,1.0,0.0
Wyoming,Converse,2025,90,89,1,0,0,53,39,0.9888888888888889,0.0
Wyoming,Fremont,2025,178,144,34,0,0,78,39,0.8089887640449438,0.0
Wyoming,Johnson,2025,90,89,1,0,0,51,39,0.9888888888888889,0.0
Wyoming,Laramie,2025,91,80,11,0,0,67,44,0.8791208791208791,0.0
Wyoming,Lincoln,2025,90,88,2,0,0,77,8,0.9777777777777777,0.0
Wyoming,Natrona,2025,90,88,2,0,0,62,41,0.9777777777777777,0.0
Wyoming,Park,2025,137,137,0,0,0,45,12,1.0,0.0
Wyoming,Platte,2025,88,72,9,2,3,283,17,0.8181818181818182,0.056818181818181816
Wyoming,Sheridan,2025,120,96,24,0,0,70,37,0.8,0.0
Wyoming,Sublette,2025,120,88,32,0,0,87,46,0.7333333333333333,0.0
Wyoming,Sweetwater,2025,118,110,8,0,0,69,40,0.9322033898305084,0.0
Wyoming,Teton,2025,177,156,21,0,0,84,41,0.8813559322033898,0.0
Wyoming,Washakie,2025,171,167,4,0,0,59,7,0.9766081871345029,0.0
