State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
Alabama,Baldwin,2018,270,232,38,0,0,97,37,0.8592592592592593,0.0
Alabama,Clay,2018,110,86,24,0,0,68,36,0.7818181818181819,0.0
Alabama,Colbert,2018,277,235,42,0,0,93,37,0.8483754512635379,0.0
Alabama,Dekalb,2018,350,302,48,0,0,84,36,0.8628571428571429,0.0
Alabama,Elmore,2018,222,203,19,0,0,71,33,0.9144144144144144,0.0
Alabama,Etowah,2018,324,169,154,0,1,154,48,0.5216049382716049,0.0030864197530864196
Alabama,Houston,2018,277,230,47,0,0,80,37,0.8303249097472925,0.0
Alabama,Jefferson,2018,365,98,263,3,1,156,56,0.2684931506849315,0.010958904109589041
Alabama,Lawrence,2018,118,99,19,0,0,66,31,0.8389830508474576,0.0
Alabama,Madison,2018,365,194,170,1,0,115,49,0.5315068493150685,0.0027397260273972603
Alabama,Mobile,2018,359,218,140,1,0,105,44,0.6072423398328691,0.002785515320334262
Alabama,Montgomery,2018,324,81,243,0,0,93,57,0.25,0.0
Alabama,Morgan,2018,364,251,113,0,0,100,44,0.6895604395604396,0.0
Alabama,Russell,2018,364,199,165,0,0,99,48,0.5467032967032966,0.0
Alabama,Shelby,2018,242,217,24,1,0,112,38,0.8966942148760331,0.004132231404958678
Alabama,Sumter,2018,357,327,30,0,0,77,31,0.9159663865546218,0.0
Alabama,Tuscaloosa,2018,320,223,96,1,0,115,42,0.696875,0.003125
Alaska,Aleutians East,2018,120,120,0,0,0,46,13,1.0,0.0
Alaska,Anchorage,2018,365,288,77,0,0,87,30,0.7890410958904109,0.0
Alaska,Bethel,2018,202,194,8,0,0,77,19,0.9603960396039604,0.0
Alaska,Denali,2018,364,361,3,0,0,58,35,0.9917582417582418,0.0
Alaska,Fairbanks North Star,2018,365,215,111,29,10,158,40,0.589041095890411,0.10684931506849316
Alaska,Juneau,2018,352,268,84,0,0,85,31,0.7613636363636364,0.0
Alaska,Kenai Peninsula,2018,120,120,0,0,0,36,10,1.0,0.0
Alaska,Matanuska-Susitna,2018,365,308,53,3,1,151,29,0.8438356164383561,0.010958904109589041
Arizona,Apache,2018,358,354,4,0,0,58,13,0.9888268156424581,0.0
Arizona,Cochise,2018,365,266,99,0,0,90,45,0.7287671232876712,0.0
Arizona,Coconino,2018,365,236,126,3,0,126,45,0.6465753424657534,0.00821917808219178
Arizona,Gila,2018,365,220,122,22,1,171,47,0.6027397260273972,0.06301369863013699
Arizona,La Paz,2018,364,257,104,3,0,105,44,0.7060439560439561,0.008241758241758242
Arizona,Maricopa,2018,365,49,252,57,4,274,71,0.13424657534246576,0.16712328767123288
Arizona,Mohave,2018,363,349,13,1,0,105,18,0.9614325068870524,0.0027548209366391185
Arizona,Navajo,2018,363,260,101,2,0,115,44,0.7162534435261708,0.005509641873278237
Arizona,Pima,2018,365,164,190,11,0,129,52,0.44931506849315067,0.030136986301369864
Arizona,Pinal,2018,365,71,243,34,6,1051,67,0.19452054794520549,0.1095890410958904
Arizona,Santa Cruz,2018,365,252,111,1,1,194,39,0.6904109589041096,0.005479452054794521
Arizona,Yavapai,2018,365,289,75,1,0,101,44,0.7917808219178082,0.0027397260273972603
Arizona,Yuma,2018,365,202,147,15,1,169,49,0.5534246575342465,0.043835616438356165
Arkansas,Arkansas,2018,118,79,39,0,0,91,43,0.6694915254237288,0.0
Arkansas,Ashley,2018,121,82,38,1,0,103,39,0.6776859504132231,0.008264462809917356
Arkansas,Clark,2018,361,342,19,0,0,87,31,0.9473684210526315,0.0
Arkansas,Craighead,2018,90,54,36,0,0,75,46,0.6,0.0
Arkansas,Crittenden,2018,365,206,156,3,0,115,47,0.5643835616438356,0.00821917808219178
Arkansas,Garland,2018,121,77,44,0,0,88,42,0.6363636363636364,0.0
Arkansas,Jackson,2018,122,82,40,0,0,74,41,0.6721311475409836,0.0
Arkansas,Newton,2018,364,326,38,0,0,84,36,0.8956043956043956,0.0
Arkansas,Polk,2018,363,293,70,0,0,93,40,0.8071625344352618,0.0
Arkansas,Pulaski,2018,365,164,199,2,0,122,52,0.44931506849315067,0.005479452054794521
Arkansas,Union,2018,365,189,173,3,0,122,49,0.5178082191780822,0.00821917808219178
Arkansas,Washington,2018,365,196,169,0,0,87,48,0.536986301369863,0.0
California,Alameda,2018,365,77,271,5,9,248,57,0.21095890410958903,0.038356164383561646
California,Amador,2018,364,288,70,6,0,129,40,0.7912087912087912,0.016483516483516484
California,Butte,2018,365,97,228,22,10,682,59,0.26575342465753427,0.08767123287671233
California,Calaveras,2018,364,52,292,14,6,160,58,0.14285714285714285,0.054945054945054944
California,Colusa,2018,365,206,131,10,17,299,46,0.5643835616438356,0.07397260273972603
California,Contra Costa,2018,365,111,236,7,8,270,55,0.3041095890410959,0.0410958904109589
California,Del Norte,2018,180,134,46,0,0,80,33,0.7444444444444445,0.0
California,El Dorado,2018,365,221,107,27,9,203,45,0.6054794520547945,0.09863013698630137
California,Fresno,2018,365,61,206,79,19,185,75,0.16712328767123288,0.2684931506849315
California,Glenn,2018,363,242,105,9,6,255,39,0.6666666666666666,0.04132231404958678
California,Humboldt,2018,365,301,58,5,1,167,35,0.8246575342465754,0.01643835616438356
California,Imperial,2018,365,67,248,41,7,286,64,0.18356164383561643,0.13150684931506848
California,Inyo,2018,365,192,136,26,7,638,49,0.5260273972602739,0.09041095890410959
California,Kern,2018,365,45,190,103,27,190,84,0.1232876712328767,0.3561643835616438
California,Kings,2018,365,68,239,49,9,190,70,0.1863013698630137,0.1589041095890411
California,Lake,2018,357,344,10,1,1,233,33,0.9635854341736695,0.0056022408963585435
California,Los Angeles,2018,365,7,250,89,18,201,78,0.019178082191780823,0.29315068493150687
California,Madera,2018,365,122,208,30,5,169,58,0.33424657534246577,0.0958904109589041
California,Marin,2018,365,235,117,3,9,243,43,0.6438356164383562,0.03287671232876712
California,Mariposa,2018,365,156,169,10,13,352,53,0.4273972602739726,0.06301369863013699
California,Mendocino,2018,364,217,126,13,6,376,46,0.5961538461538461,0.0521978021978022
California,Merced,2018,365,110,214,32,9,178,56,0.3013698630136986,0.11232876712328767
California,Mono,2018,365,252,84,14,10,1049,27,0.6904109589041096,0.06575342465753424
California,Monterey,2018,365,258,100,5,2,157,42,0.7068493150684931,0.019178082191780823
California,Napa,2018,364,210,142,4,8,195,46,0.5769230769230769,0.03296703296703297
California,Nevada,2018,363,231,104,19,7,218,45,0.6363636363636364,0.07162534435261708
California,Orange,2018,365,114,233,15,3,160,54,0.31232876712328766,0.049315068493150684
California,Placer,2018,365,213,127,16,7,248,46,0.5835616438356165,0.06301369863013699
California,Plumas,2018,350,186,154,8,2,162,47,0.5314285714285715,0.02857142857142857
California,Riverside,2018,365,32,193,102,32,296,87,0.08767123287671233,0.36712328767123287
California,Sacramento,2018,365,104,226,22,6,376,58,0.28493150684931506,0.07671232876712329
California,San Benito,2018,365,270,84,11,0,143,42,0.7397260273972602,0.030136986301369864
California,San Bernardino,2018,365,14,197,96,51,221,89,0.038356164383561646,0.40273972602739727
California,San Diego,2018,365,28,302,35,0,143,67,0.07671232876712329,0.0958904109589041
California,San Francisco,2018,365,222,129,2,10,252,44,0.6082191780821918,0.03287671232876712
California,San Joaquin,2018,365,91,241,20,8,365,59,0.2493150684931507,0.07671232876712329
California,San Luis Obispo,2018,365,147,209,9,0,133,53,0.40273972602739727,0.024657534246575342
California,San Mateo,2018,365,236,116,3,10,197,42,0.6465753424657534,0.03561643835616438
California,Santa Barbara,2018,365,173,190,2,0,114,51,0.473972602739726,0.005479452054794521
California,Santa Clara,2018,365,154,194,6,9,214,53,0.42191780821917807,0.0410958904109589
California,Santa Cruz,2018,365,273,82,5,5,177,41,0.7479452054794521,0.0273972602739726
California,Shasta,2018,365,272,72,15,5,206,43,0.7452054794520548,0.0547945205479452
California,Siskiyou,2018,365,247,78,16,21,219,42,0.6767123287671233,0.10136986301369863
California,Solano,2018,365,184,166,3,11,272,50,0.5041095890410959,0.038356164383561646
California,Sonoma,2018,365,304,48,3,8,250,39,0.8328767123287671,0.030136986301369864
California,Stanislaus,2018,365,109,209,32,11,265,59,0.29863013698630136,0.1178082191780822
California,Sutter,2018,365,94,236,22,6,420,58,0.25753424657534246,0.07671232876712329
California,Tehama,2018,365,208,128,16,12,206,48,0.5698630136986301,0.07671232876712329
California,Trinity,2018,291,117,155,12,5,209,54,0.4020618556701031,0.058419243986254296
California,Tulare,2018,365,50,194,95,26,180,79,0.136986301369863,0.3315068493150685
California,Tuolumne,2018,348,254,73,20,1,154,43,0.7298850574712644,0.0603448275862069
California,Ventura,2018,365,94,254,16,1,166,57,0.25753424657534246,0.04657534246575343
California,Yolo,2018,365,216,135,5,7,260,45,0.5917808219178082,0.03287671232876712
Colorado,Adams,2018,365,138,224,3,0,130,54,0.3780821917808219,0.00821917808219178
Colorado,Alamosa,2018,360,348,11,0,0,235,19,0.9666666666666667,0.0
Colorado,Arapahoe,2018,365,227,123,14,1,156,46,0.6219178082191781,0.0410958904109589
Colorado,Archuleta,2018,365,333,32,0,0,97,38,0.9123287671232877,0.0
Colorado,Boulder,2018,362,198,135,28,1,159,49,0.5469613259668509,0.08011049723756906
Colorado,Chaffee,2018,164,67,91,5,1,161,58,0.40853658536585363,0.036585365853658534
Colorado,Clear Creek,2018,291,145,118,25,3,164,51,0.49828178694158076,0.09621993127147767
Colorado,Delta,2018,297,264,33,0,0,85,36,0.8888888888888888,0.0
Colorado,Denver,2018,365,124,231,10,0,150,54,0.33972602739726027,0.0273972602739726
Colorado,Douglas,2018,364,194,143,24,3,156,49,0.532967032967033,0.07417582417582418
Colorado,El Paso,2018,365,217,140,8,0,119,47,0.5945205479452055,0.021917808219178082
Colorado,Fremont,2018,20,20,0,0,0,36,15,1.0,0.0
Colorado,Garfield,2018,365,214,135,15,1,151,48,0.5863013698630137,0.043835616438356165
Colorado,Grand,2018,166,110,54,1,1,151,47,0.6626506024096386,0.012048192771084338
