county_fips,State Name,County Name,Parameter Name,Sample Duration,Units of Measure,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,Observation Count,Observation Percent,Completeness Indicator
01003,Alabama,Baldwin,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04023,0.010521,0.067,0.065,0.062,0.061,5497,92,Y
01003,Alabama,Baldwin,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04023,0.010521,0.067,0.065,0.062,0.061,5497,92,Y
01003,Alabama,Baldwin,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.040062,0.010599,0.067,0.065,0.062,0.061,3892,93,Y
01049,Alabama,DeKalb,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.045168,0.008731,0.066,0.062,0.061,0.06,8748,100,Y
01049,Alabama,DeKalb,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.045168,0.008731,0.066,0.062,0.061,0.06,8748,100,Y
01049,Alabama,DeKalb,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.045024,0.008824,0.066,0.062,0.061,0.06,6201,100,Y
01051,Alabama,Elmore,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039093,0.009152,0.057,0.055,0.055,0.054,5589,92,Y
01051,Alabama,Elmore,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039093,0.009152,0.057,0.055,0.055,0.054,5589,92,Y
01051,Alabama,Elmore,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.038966,0.009119,0.057,0.055,0.055,0.054,3974,95,Y
01055,Alabama,Etowah,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043485,0.008827,0.059,0.059,0.059,0.058,5592,93,Y
01055,Alabama,Etowah,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.043485,0.008827,0.059,0.059,0.059,0.058,5592,93,Y
01055,Alabama,Etowah,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04341,0.00885,0.059,0.059,0.059,0.058,3955,93,Y
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041331,0.011498,0.076,0.073,0.072,0.068,8137,92,Y
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041331,0.011498,0.076,0.073,0.072,0.068,8137,92,Y
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041226,0.011692,0.076,0.073,0.072,0.068,5795,93,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),9.65431,5.0105,29.1,24.1,23.7,23.7,116,93,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),9.65431,5.0105,29.1,24.1,23.7,23.7,116,93,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),9.65431,5.0105,29.1,24.1,23.7,23.7,116,93,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),9.65431,5.0105,29.1,24.1,23.7,23.7,116,93,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),9.65431,5.0105,29.1,24.1,23.7,23.7,116,93,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),9.65431,5.0105,29.1,24.1,23.7,23.7,116,93,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),9.65431,5.0105,29.1,24.1,23.7,23.7,116,93,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),9.65431,5.0105,29.1,24.1,23.7,23.7,116,93,Y
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04484,0.009435,0.075,0.069,0.065,0.062,2570,43,N
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.04484,0.009435,0.075,0.069,0.065,0.062,2570,43,N
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.044519,0.009579,0.075,0.069,0.065,0.062,1840,43,N
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041606,0.010057,0.065,0.064,0.063,0.063,4374,73,N
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041606,0.010057,0.065,0.064,0.063,0.063,4374,73,N
01073,Alabama,Jefferson,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041541,0.010151,0.065,0.064,0.063,0.063,3112,75,Y
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.104167,3.755787,23.9,15.1,13.5,12.2,48,72,N
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.104167,3.755787,23.9,15.1,13.5,12.2,48,72,N
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.104167,3.755787,23.9,15.1,13.5,12.2,48,72,N
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.104167,3.755787,23.9,15.1,13.5,12.2,48,72,N
01073,Alabama,Jefferson,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.104167,3.755787,23.9,15.1,13.5,12.2,48,72,N
