State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
Alabama,Baldwin,2019,271,221,50,0,0,80,40,0.8154981549815498,0.0
Alabama,Clay,2019,107,75,32,0,0,71,41,0.7009345794392523,0.0
Alabama,Colbert,2019,263,238,25,0,0,65,38,0.9049429657794676,0.0
Alabama,Dekalb,2019,361,303,58,0,0,90,39,0.8393351800554016,0.0
Alabama,Elmore,2019,228,208,20,0,0,100,39,0.9122807017543859,0.0
Alabama,Etowah,2019,279,201,78,0,0,90,44,0.7204301075268817,0.0
Alabama,Houston,2019,280,230,50,0,0,77,38,0.8214285714285714,0.0
Alabama,Jefferson,2019,365,85,267,13,0,150,58,0.2328767123287671,0.03561643835616438
Alabama,Lawrence,2019,112,98,14,0,0,58,32,0.875,0.0
Alabama,Madison,2019,361,189,172,0,0,93,49,0.5235457063711911,0.0
Alabama,Mobile,2019,352,167,185,0,0,82,52,0.4744318181818182,0.0
Alabama,Montgomery,2019,365,84,280,1,0,122,57,0.23013698630136986,0.0027397260273972603
Alabama,Morgan,2019,365,247,118,0,0,93,45,0.6767123287671233,0.0
Alabama,Russell,2019,363,195,168,0,0,84,48,0.5371900826446281,0.0
Alabama,Shelby,2019,244,202,39,3,0,119,42,0.8278688524590164,0.012295081967213115
Alabama,Sumter,2019,354,287,67,0,0,67,38,0.8107344632768362,0.0
Alabama,Tuscaloosa,2019,264,217,47,0,0,87,39,0.821969696969697,0.0
Alaska,Aleutians East,2019,121,119,2,0,0,55,14,0.9834710743801653,0.0
Alaska,Anchorage,2019,365,254,102,5,4,163,32,0.6958904109589041,0.024657534246575342
Alaska,Bethel,2019,317,302,13,1,1,185,13,0.9526813880126183,0.006309148264984227
Alaska,Denali,2019,360,355,5,0,0,82,36,0.9861111111111112,0.0
Alaska,Fairbanks North Star,2019,365,205,121,18,16,503,44,0.5616438356164384,0.09315068493150686
Alaska,Juneau,2019,362,280,79,3,0,145,27,0.7734806629834254,0.008287292817679558
Alaska,Kenai Peninsula,2019,118,111,6,1,0,140,11,0.940677966101695,0.00847457627118644
Alaska,Matanuska-Susitna,2019,361,262,96,3,0,127,25,0.7257617728531855,0.008310249307479225
Alaska,North Slope,2019,110,108,2,0,0,69,6,0.9818181818181818,0.0
Arizona,Apache,2019,359,357,2,0,0,64,11,0.9944289693593314,0.0
Arizona,Cochise,2019,365,253,112,0,0,97,46,0.6931506849315069,0.0
Arizona,Coconino,2019,365,280,85,0,0,80,45,0.7671232876712328,0.0
Arizona,Gila,2019,365,210,139,16,0,146,48,0.5753424657534246,0.043835616438356165
Arizona,La Paz,2019,364,303,61,0,0,77,44,0.8324175824175825,0.0
Arizona,Maricopa,2019,365,50,277,38,0,147,67,0.136986301369863,0.10410958904109589
Arizona,Mohave,2019,365,358,7,0,0,69,14,0.9808219178082191,0.0
Arizona,Navajo,2019,365,294,70,1,0,112,44,0.8054794520547945,0.0027397260273972603
Arizona,Pima,2019,365,207,156,2,0,103,49,0.5671232876712329,0.005479452054794521
Arizona,Pinal,2019,365,104,228,21,2,929,63,0.28493150684931506,0.06301369863013699
Arizona,Santa Cruz,2019,362,250,110,2,0,120,39,0.6906077348066298,0.0055248618784530384
Arizona,Yavapai,2019,357,298,59,0,0,87,43,0.834733893557423,0.0
Arizona,Yuma,2019,365,226,136,3,0,129,47,0.6191780821917808,0.00821917808219178
Arkansas,Arkansas,2019,118,77,41,0,0,80,41,0.652542372881356,0.0
Arkansas,Ashley,2019,120,72,48,0,0,71,43,0.6,0.0
Arkansas,Benton,2019,146,79,67,0,0,85,47,0.541095890410959,0.0
Arkansas,Clark,2019,355,347,8,0,0,67,32,0.9774647887323944,0.0
Arkansas,Craighead,2019,49,35,14,0,0,65,41,0.7142857142857143,0.0
Arkansas,Crittenden,2019,365,212,152,1,0,101,47,0.5808219178082191,0.0027397260273972603
Arkansas,Garland,2019,121,61,60,0,0,77,50,0.5041322314049587,0.0
Arkansas,Jackson,2019,117,76,41,0,0,77,45,0.6495726495726496,0.0
Arkansas,Newton,2019,365,344,21,0,0,90,36,0.9424657534246575,0.0
Arkansas,Polk,2019,361,291,69,1,0,119,40,0.8060941828254847,0.002770083102493075
Arkansas,Pulaski,2019,365,145,220,0,0,81,53,0.3972602739726027,0.0
Arkansas,Union,2019,241,135,106,0,0,99,46,0.5601659751037344,0.0
Arkansas,Washington,2019,365,193,172,0,0,97,48,0.5287671232876713,0.0
California,Alameda,2019,365,183,174,8,0,150,50,0.5013698630136987,0.021917808219178082
California,Amador,2019,355,308,45,2,0,115,39,0.8676056338028169,0.005633802816901409
California,Butte,2019,365,171,189,3,2,180,51,0.4684931506849315,0.0136986301369863
California,Calaveras,2019,360,288,71,1,0,108,43,0.8,0.002777777777777778
California,Colusa,2019,365,260,105,0,0,85,41,0.7123287671232876,0.0
California,Contra Costa,2019,365,238,123,4,0,129,43,0.6520547945205479,0.010958904109589041
California,Del Norte,2019,248,210,38,0,0,74,26,0.8467741935483871,0.0
California,El Dorado,2019,365,273,86,6,0,122,43,0.7479452054794521,0.01643835616438356
California,Fresno,2019,365,113,186,64,2,187,63,0.3095890410958904,0.18082191780821918
California,Glenn,2019,362,274,88,0,0,86,42,0.7569060773480663,0.0
California,Humboldt,2019,363,340,23,0,0,69,28,0.9366391184573003,0.0
California,Imperial,2019,365,94,250,19,2,185,61,0.25753424657534246,0.057534246575342465
California,Inyo,2019,365,226,127,6,2,653,47,0.6191780821917808,0.021917808219178082
California,Kern,2019,365,91,179,87,6,553,69,0.2493150684931507,0.2547945205479452
California,Kings,2019,365,123,201,37,2,508,58,0.336986301369863,0.10684931506849316
California,Lake,2019,360,360,0,0,0,50,31,1.0,0.0
California,Los Angeles,2019,365,34,245,57,28,201,72,0.09315068493150686,0.2328767123287671
California,Madera,2019,365,167,185,13,0,140,52,0.4575342465753425,0.03561643835616438
California,Marin,2019,363,291,71,1,0,133,37,0.8016528925619835,0.0027548209366391185
California,Mariposa,2019,365,192,159,9,5,185,50,0.5260273972602739,0.038356164383561646
California,Mendocino,2019,361,290,71,0,0,80,36,0.8033240997229917,0.0
California,Merced,2019,365,176,182,7,0,119,51,0.4821917808219178,0.019178082191780823
California,Mono,2019,365,242,108,6,0,4227,34,0.663013698630137,0.01643835616438356
California,Monterey,2019,365,303,61,1,0,144,39,0.8301369863013699,0.0027397260273972603
California,Napa,2019,363,295,66,2,0,119,37,0.8126721763085399,0.005509641873278237
California,Nevada,2019,361,251,105,5,0,122,45,0.6952908587257618,0.013850415512465374
California,Orange,2019,365,157,192,15,1,172,53,0.4301369863013699,0.043835616438356165
California,Placer,2019,365,198,158,9,0,136,49,0.5424657534246575,0.024657534246575342
California,Plumas,2019,341,220,116,5,0,138,34,0.6451612903225806,0.01466275659824047
California,Riverside,2019,365,53,192,91,29,185,77,0.14520547945205478,0.3287671232876712
California,Sacramento,2019,365,175,180,10,0,140,52,0.4794520547945205,0.0273972602739726
California,San Benito,2019,365,318,47,0,0,90,39,0.8712328767123287,0.0
California,San Bernardino,2019,365,29,203,71,54,213,81,0.07945205479452055,0.3424657534246575
California,San Diego,2019,365,38,302,23,2,169,66,0.10410958904109589,0.0684931506849315
California,San Francisco,2019,365,251,113,1,0,108,39,0.6876712328767123,0.0027397260273972603
California,San Joaquin,2019,365,202,151,11,1,190,47,0.5534246575342465,0.03287671232876712
California,San Luis Obispo,2019,365,196,166,3,0,108,49,0.536986301369863,0.00821917808219178
California,San Mateo,2019,365,276,87,2,0,122,39,0.7561643835616438,0.005479452054794521
California,Santa Barbara,2019,365,242,122,1,0,105,45,0.663013698630137,0.0027397260273972603
California,Santa Clara,2019,365,205,156,4,0,136,48,0.5616438356164384,0.010958904109589041
California,Santa Cruz,2019,365,291,74,0,0,74,39,0.7972602739726027,0.0
California,Shasta,2019,364,306,58,0,0,100,42,0.8406593406593407,0.0
California,Siskiyou,2019,365,302,59,2,2,164,38,0.8273972602739726,0.010958904109589041
California,Solano,2019,365,226,138,1,0,119,45,0.6191780821917808,0.0027397260273972603
California,Sonoma,2019,365,318,47,0,0,87,36,0.8712328767123287,0.0
California,Stanislaus,2019,365,168,174,22,1,177,52,0.4602739726027397,0.06301369863013699
California,Sutter,2019,365,200,163,2,0,110,48,0.547945205479452,0.005479452054794521
California,Tehama,2019,365,263,102,0,0,93,43,0.7205479452054795,0.0
California,Trinity,2019,269,225,42,2,0,113,23,0.8364312267657993,0.007434944237918215
California,Tulare,2019,365,98,186,78,2,280,67,0.2684931506849315,0.2191780821917808
California,Tuolumne,2019,358,273,83,2,0,108,43,0.7625698324022346,0.00558659217877095
California,Ventura,2019,365,175,181,9,0,126,51,0.4794520547945205,0.024657534246575342
California,Yolo,2019,365,252,112,1,0,136,43,0.6904109589041096,0.0027397260273972603
Colorado,Adams,2019,365,183,181,1,0,132,50,0.5013698630136987,0.0027397260273972603
Colorado,Alamosa,2019,107,107,0,0,0,28,12,1.0,0.0
Colorado,Arapahoe,2019,365,222,137,6,0,140,47,0.6082191780821918,0.01643835616438356
Colorado,Archuleta,2019,363,331,30,2,0,124,31,0.9118457300275482,0.005509641873278237
Colorado,Boulder,2019,365,192,168,5,0,119,50,0.5260273972602739,0.0136986301369863
Colorado,Chaffee,2019,144,80,63,1,0,108,50,0.5555555555555556,0.006944444444444444
Colorado,Clear Creek,2019,294,183,109,2,0,126,47,0.6224489795918368,0.006802721088435374
Colorado,Delta,2019,365,338,27,0,0,80,41,0.9260273972602739,0.0
Colorado,Denver,2019,365,139,223,2,1,153,54,0.38082191780821917,0.00821917808219178
Colorado,Douglas,2019,361,220,130,10,1,154,47,0.6094182825484764,0.030470914127423823
Colorado,El Paso,2019,365,249,116,0,0,100,46,0.6821917808219178,0.0
Colorado,Fremont,2019,32,32,0,0,0,29,13,1.0,0.0
Colorado,Garfield,2019,365,248,115,2,0,105,48,0.6794520547945205,0.005479452054794521
Colorado,Gilpin,2019,143,117,25,1,0,115,45,0.8181818181818182,0.006993006993006993
Colorado,Grand,2019,118,95,23,0,0,80,45,0.8050847457627118,0.0
Colorado,Gunnison,2019,362,264,96,2,0,101,46,0.7292817679558011,0.0055248618784530384
Colorado,Jackson,2019,102,102,0,0,0,34,8,1.0,0.0
Colorado,Jefferson,2019,365,238,111,16,0,129,46,0.6520547945205479,0.043835616438356165
Colorado,La Plata,2019,365,267,98,0,0,87,44,0.7315068493150685,0.0
Colorado,Larimer,2019,365,183,176,6,0,129,50,0.5013698630136987,0.01643835616438356
Colorado,Mesa,2019,364,238,125,1,0,101,47,0.6538461538461539,0.0027472527472527475
Colorado,Montezuma,2019,365,279,86,0,0,97,46,0.7643835616438356,0.0
Colorado,Park,2019,312,160,150,2,0,101,50,0.5128205128205128,0.00641025641025641
Colorado,Pitkin,2019,121,121,0,0,0,46,11,1.0,0.0
Colorado,Prowers,2019,346,343,3,0,0,76,14,0.9913294797687862,0.0
Colorado,Pueblo,2019,126,125,1,0,0,68,26,0.9920634920634921,0.0
Colorado,Rio Blanco,2019,365,252,113,0,0,100,47,0.6904109589041096,0.0
Colorado,Routt,2019,356,353,2,1,0,137,13,0.9915730337078652,0.0028089887640449437
Colorado,San Juan,2019,116,116,0,0,0,32,9,1.0,0.0
Colorado,San Miguel,2019,241,189,52,0,0,87,45,0.7842323651452282,0.0
Colorado,Weld,2019,365,152,205,8,0,129,53,0.41643835616438357,0.021917808219178082
Connecticut,Fairfield,2019,365,221,123,18,3,161,46,0.6054794520547945,0.057534246575342465
Connecticut,Hartford,2019,365,252,108,5,0,122,43,0.6904109589041096,0.0136986301369863
Connecticut,Litchfield,2019,365,327,38,0,0,97,37,0.8958904109589041,0.0
Connecticut,Middlesex,2019,205,175,23,6,1,154,41,0.8536585365853658,0.03414634146341464
Connecticut,New Haven,2019,365,228,123,12,2,159,44,0.6246575342465753,0.038356164383561646
Connecticut,New London,2019,364,295,62,7,0,129,40,0.8104395604395604,0.019230769230769232
Connecticut,Tolland,2019,212,187,20,5,0,126,42,0.8820754716981132,0.02358490566037736
Connecticut,Windham,2019,360,344,15,1,0,105,36,0.9555555555555556,0.002777777777777778
Country Of Mexico,Baja California Norte,2019,32,5,19,8,0,144,72,0.15625,0.25
Country Of Mexico,Sonora,2019,358,288,65,5,0,126,43,0.8044692737430168,0.013966480446927373
