place_fips,place_name,state,pop_2010,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
0639496,Lake Forest,CA,77264,7.7,4.5,4.8,2.2,11.9,7.6,17.9,9.5,9.8,2016
0681666,Vallejo,CA,115942,8.9,5.7,5.5,3.0,15.8,11.1,24.6,12.8,12.2,2016
0660018,Redondo Beach,CA,66748,7.3,3.8,4.5,1.9,10.5,7.0,13.9,8.4,8.8,2016
0107000,Birmingham,AL,212237,11.4,9.4,7.6,5.0,22.0,16.1,31.7,18.3,17.0,2016
0653000,Oakland,CA,390724,9.3,5.6,5.5,3.3,15.2,11.5,24.5,13.3,12.5,2016
1207875,Boynton Beach,FL,68217,9.2,7.3,6.4,3.2,20.6,10.3,24.5,13.2,13.8,2016
0668196,San Marcos,CA,83781,8.4,5.8,5.7,2.7,14.7,9.7,22.6,12.3,12.2,2016
0177256,Tuscaloosa,AL,90468,10.9,9.1,7.4,4.1,23.2,13.6,28.6,16.6,15.9,2016
0669084,Santa Clara,CA,116468,7.3,3.9,4.4,2.0,10.3,8.1,17.8,8.9,8.9,2016
0427820,Glendale,AZ,226721,10.2,7.2,6.1,3.1,19.8,9.9,23.7,13.5,13.0,2016
0626000,Fremont,CA,214089,6.9,3.5,4.1,1.9,10.1,8.0,18.7,8.5,8.4,2016
0684200,West Covina,CA,106098,7.2,4.2,5.0,2.4,12.3,10.6,22.8,11.7,10.5,2016
0843000,Lakewood,CO,142980,8.6,4.7,4.6,2.3,16.8,6.4,15.7,9.7,9.7,2016
1216475,Davie,FL,91992,7.9,5.7,5.6,2.5,15.6,8.7,20.5,10.6,11.7,2016
0614218,Clovis,CA,95631,8.7,5.7,5.5,2.6,13.8,8.9,21.8,11.6,11.9,2016
0600562,Alameda,CA,73812,7.9,4.3,4.5,2.2,11.9,8.1,18.7,9.6,9.8,2016
0613014,Chico,CA,86187,9.4,6.5,5.8,2.8,17.0,8.6,20.6,12.7,13.0,2016
0600884,Alhambra,CA,83089,6.8,4.0,4.6,2.3,12.2,10.9,24.8,11.4,10.1,2016
0622804,Escondido,CA,143911,9.0,6.8,6.3,3.1,17.1,11.1,26.7,14.7,14.1,2016
0465000,Scottsdale,AZ,217385,9.0,4.9,4.7,2.1,14.0,6.5,14.6,8.5,9.4,2016
0665042,San Buenaventura (Ventura),CA,106433,8.5,5.2,5.3,2.4,13.7,8.1,19.6,11.0,11.2,2016
0672016,Simi Valley,CA,124237,8.2,4.9,5.0,2.2,13.2,7.7,18.8,10.1,10.6,2016
0877290,Thornton,CO,118772,8.6,4.9,4.8,2.4,18.5,7.5,18.2,10.2,10.0,2016
0524550,Fort Smith,AR,86209,9.8,9.1,8.0,3.6,26.1,11.6,33.9,17.1,15.4,2016
0616532,Costa Mesa,CA,109960,8.4,5.4,5.4,2.5,14.4,8.8,21.3,11.8,11.6,2016
0655156,Palmdale,CA,152750,9.1,6.6,6.6,3.4,17.5,12.6,27.0,16.2,14.4,2016
0832155,Greeley,CO,92889,9.0,5.6,5.3,2.7,18.6,7.9,22.1,12.1,11.4,2016
0627000,Fresno,CA,494665,9.6,7.1,6.6,3.4,16.8,12.3,30.3,16.2,14.8,2016
0646898,Merced,CA,78958,9.7,7.3,6.8,3.5,18.5,12.4,30.2,17.0,15.0,2016
0603526,Bakersfield,CA,347483,9.1,6.4,6.2,3.1,17.6,10.9,27.1,14.3,13.5,2016
0955990,Norwalk,CT,85603,8.7,4.9,5.0,2.4,16.4,8.1,19.8,9.0,10.4,2016
0662938,Roseville,CA,118788,8.5,5.0,5.0,2.3,13.9,7.5,17.7,10.2,10.8,2016
