place_fips,place_name,state,pop_2010,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
"107,000",Birmingham,AL,,11.5,9.0,7.6,5.2,24.6,16.8,37.3,16.4,15.6,2017
"135,896",Hoover,AL,,8.6,5.0,4.8,2.2,14.0,7.8,23.5,9.2,10.4,2017
"137,000",Huntsville,AL,,9.8,7.3,6.2,3.3,19.5,11.2,27.0,13.2,13.4,2017
"150,000",Mobile,AL,,10.8,8.4,7.2,4.1,23.4,13.2,34.2,15.3,15.0,2017
"151,000",Montgomery,AL,,10.9,8.2,6.8,4.2,22.1,13.3,31.2,15.5,14.8,2017
"177,256",Tuscaloosa,AL,,10.6,8.5,7.1,4.2,22.7,13.9,34.8,15.5,15.5,2017
"203,000",Anchorage,AK,,9.1,4.9,5.1,2.6,17.1,8.0,22.3,10.2,10.6,2017
"404,720",Avondale,AZ,,9.1,6.3,5.9,3.2,16.3,11.6,27.5,13.6,12.7,2017
"412,000",Chandler,AZ,,8.5,5.0,4.6,2.3,13.1,8.0,20.5,9.7,10.2,2017
"427,400",Gilbert,AZ,,8.4,4.7,4.4,2.1,12.6,7.2,19.0,8.9,9.7,2017
"427,820",Glendale,AZ,,9.3,6.9,5.8,3.1,17.4,10.4,26.7,13.5,13.0,2017
"446,000",Mesa,AZ,,9.2,6.5,5.5,2.9,16.7,9.1,24.4,12.3,12.3,2017
"454,050",Peoria,AZ,,8.8,5.6,4.8,2.4,14.7,8.0,21.6,10.4,11.0,2017
"455,000",Phoenix,AZ,,9.3,6.8,5.9,3.2,17.2,10.7,26.8,13.7,13.0,2017
"465,000",Scottsdale,AZ,,8.4,4.6,4.3,2.1,11.9,6.7,17.8,8.6,9.4,2017
"471,510",Surprise,AZ,,8.9,5.6,4.9,2.5,15.1,8.0,21.9,10.5,11.2,2017
"473,000",Tempe,AZ,,8.8,5.7,5.1,2.6,15.0,8.7,22.1,11.0,11.2,2017
"477,000",Tucson,AZ,,10.4,6.8,6.0,3.2,18.0,10.8,25.6,13.8,13.4,2017
"485,540",Yuma,AZ,,9.6,6.8,6.5,3.2,17.6,11.9,28.0,14.4,13.5,2017
"523,290",Fayetteville,AR,,9.2,6.6,6.3,2.8,19.9,9.2,28.0,12.5,12.5,2017
"524,550",Fort Smith,AR,,10.1,8.7,7.6,3.8,23.1,11.7,37.1,16.6,15.4,2017
"535,710",Jonesboro,AR,,9.7,7.5,6.8,3.2,21.8,10.1,34.2,14.0,13.8,2017
"541,000",Little Rock,AR,,9.4,6.2,6.1,3.3,18.8,11.3,32.0,12.9,12.8,2017
"566,080",Springdale,AR,,9.9,8.3,7.5,3.5,23.8,11.7,35.1,16.2,14.9,2017
"600,562",Alameda,CA,,8.3,3.8,4.1,2.1,10.8,7.5,16.3,8.8,9.5,2017
"600,884",Alhambra,CA,,6.9,3.8,4.4,2.4,11.7,10.8,21.8,10.4,10.1,2017
"602,000",Anaheim,CA,,8.0,4.9,5.4,2.7,13.8,10.4,22.5,13.1,12.4,2017
"602,252",Antioch,CA,,9.3,5.5,5.5,2.9,15.4,10.1,21.3,12.8,12.8,2017
"602,364",Apple Valley,CA,,9.4,6.5,5.8,3.1,17.9,10.0,24.9,14.2,13.9,2017
"603,526",Bakersfield,CA,,8.9,6.1,5.8,3.2,15.4,10.8,23.4,14.1,13.4,2017
"603,666",Baldwin Park,CA,,7.9,4.6,5.5,2.9,14.1,13.1,26.7,14.4,13.3,2017
"604,982",Bellflower,CA,,8.5,5.3,5.4,3.0,15.1,11.4,23.8,13.4,13.2,2017
"606,000",Berkeley,CA,,8.8,3.9,4.3,2.3,10.6,7.3,15.4,9.0,9.8,2017
"608,786",Buena Park,CA,,7.5,4.3,4.9,2.5,12.6,9.8,20.7,11.5,11.2,2017
"608,954",Burbank,CA,,8.0,4.5,4.5,2.3,12.5,7.9,17.4,10.0,11.0,2017
"611,194",Carlsbad,CA,,7.7,4.0,4.1,2.0,10.3,6.2,13.9,8.7,9.5,2017
"611,530",Carson,CA,,8.1,4.0,4.5,2.7,12.7,11.0,21.3,10.9,11.1,2017
"613,014",Chico,CA,,9.2,6.2,5.5,2.8,16.3,8.4,19.8,12.7,13.0,2017
"613,210",Chino,CA,,8.2,4.6,5.1,2.5,13.8,10.1,23.7,12.1,11.5,2017
"613,214",Chino Hills,CA,,7.2,3.4,4.0,1.9,10.3,8.2,18.8,8.8,8.9,2017
"613,392",Chula Vista,CA,,7.7,4.4,4.9,2.6,12.0,9.9,20.4,12.0,11.3,2017
"613,588",Citrus Heights,CA,,10.3,6.2,5.6,2.8,16.6,8.4,19.7,12.7,13.4,2017
"614,218",Clovis,CA,,8.8,5.3,5.1,2.6,13.7,8.8,19.0,11.7,11.9,2017
"615,044",Compton,CA,,10.1,6.4,6.6,4.6,18.3,15.8,29.1,17.3,15.9,2017
"616,000",Concord,CA,,8.7,4.9,4.9,2.5,13.9,8.5,19.2,11.4,11.8,2017
"616,350",Corona,CA,,8.1,4.8,5.2,2.6,13.7,9.4,22.1,11.7,11.7,2017
"616,532",Costa Mesa,CA,,8.1,5.0,5.2,2.6,13.3,8.8,19.2,11.9,11.8,2017
"617,918",Daly City,CA,,6.9,3.4,4.1,2.1,10.4,9.4,19.6,9.3,9.1,2017
"619,766",Downey,CA,,7.9,4.4,4.9,2.5,12.6,10.6,22.2,12.2,12.1,2017
"621,712",El Cajon,CA,,9.2,7.1,5.9,3.4,17.8,9.7,22.0,14.8,14.4,2017
"622,020",Elk Grove,CA,,9.2,4.4,4.6,2.4,12.6,8.6,18.0,10.2,10.7,2017
"622,230",El Monte,CA,,8.1,5.4,6.0,3.3,16.0,14.2,28.9,15.8,14.2,2017
"622,804",Escondido,CA,,8.6,6.1,5.6,3.1,15.5,9.9,22.2,14.3,13.5,2017
"623,182",Fairfield,CA,,9.1,5.3,5.3,2.9,14.4,9.9,21.4,12.3,12.1,2017
"624,638",Folsom,CA,,8.7,3.9,4.2,2.0,11.5,6.6,14.8,8.7,9.6,2017
"624,680",Fontana,CA,,8.7,5.3,5.8,3.1,15.1,12.2,27.4,14.6,13.1,2017
"626,000",Fremont,CA,,7.4,3.2,3.8,1.9,9.3,7.6,16.2,7.8,8.2,2017
"627,000",Fresno,CA,,9.5,6.7,6.5,3.6,16.7,12.6,25.3,16.1,14.5,2017
"628,000",Fullerton,CA,,7.6,4.4,4.8,2.4,12.5,9.1,19.5,11.2,11.1,2017
"629,000",Garden Grove,CA,,7.6,4.9,5.4,2.8,14.3,11.1,23.6,12.8,12.0,2017
"630,000",Glendale,CA,,8.4,5.3,4.9,2.6,14.3,8.6,19.1,11.3,12.1,2017
"632,548",Hawthorne,CA,,9.1,5.3,5.5,3.4,15.4,12.7,24.4,14.0,13.6,2017
"633,000",Hayward,CA,,9.0,4.7,5.0,2.7,13.4,10.1,21.5,11.7,11.6,2017
"633,182",Hemet,CA,,9.5,7.6,6.8,3.6,19.7,11.1,27.3,16.2,15.5,2017
"633,434",Hesperia,CA,,9.4,7.1,6.6,3.5,18.6,11.6,27.9,16.1,14.8,2017
"636,000",Huntington Beach,CA,,7.8,4.2,4.5,2.2,12.1,7.3,16.4,9.8,10.6,2017
"636,448",Indio,CA,,8.6,5.8,6.2,3.1,15.9,11.4,26.9,15.0,14.0,2017
"636,546",Inglewood,CA,,9.8,5.6,5.8,4.0,16.4,14.1,25.6,15.0,14.4,2017
"636,770",Irvine,CA,,6.9,3.3,4.0,2.0,9.2,7.2,14.9,8.2,8.6,2017
"639,496",Lake Forest,CA,,7.5,4.0,4.5,2.2,10.9,7.5,16.2,9.5,10.0,2017
"639,892",Lakewood,CA,,7.9,4.3,4.4,2.3,12.7,8.6,18.7,10.1,11.0,2017
"640,130",Lancaster,CA,,9.2,6.5,6.0,3.5,17.4,11.5,23.9,14.5,14.3,2017
"641,992",Livermore,CA,,8.8,4.3,4.4,2.1,11.9,6.9,16.3,9.4,10.4,2017
"643,000",Long Beach,CA,,8.6,5.2,5.2,3.0,14.7,10.7,22.0,12.7,12.8,2017
"644,000",Los Angeles,CA,,8.4,5.2,5.4,3.0,14.5,11.3,22.8,13.3,13.0,2017
"644,574",Lynwood,CA,,9.3,6.1,6.8,4.0,17.2,15.7,30.3,18.1,16.1,2017
"645,484",Manteca,CA,,9.0,5.8,5.5,2.8,16.0,9.8,23.5,13.0,13.1,2017
"646,842",Menifee,CA,,8.6,5.6,5.5,2.7,15.5,9.0,22.2,12.3,12.6,2017
"646,898",Merced,CA,,9.5,7.1,6.7,3.7,18.1,12.9,25.5,17.1,15.1,2017
"647,766",Milpitas,CA,,6.5,3.1,3.8,1.9,9.6,8.8,18.6,8.3,8.3,2017
"648,256",Mission Viejo,CA,,7.6,3.8,4.2,2.0,10.9,6.7,15.1,9.0,9.9,2017
"648,354",Modesto,CA,,9.4,6.5,6.0,3.2,17.2,10.3,23.9,14.5,14.0,2017
"649,270",Moreno Valley,CA,,9.0,5.9,6.1,3.4,16.7,12.2,26.9,14.8,14.0,2017
"649,670",Mountain View,CA,,7.1,3.2,3.8,1.8,8.6,6.9,15.0,7.9,8.3,2017
"650,076",Murrieta,CA,,8.2,4.8,4.9,2.4,13.8,8.1,19.9,10.7,11.4,2017
"650,258",Napa,CA,,8.8,5.4,5.1,2.5,14.8,8.3,19.6,11.9,12.2,2017
"651,182",Newport Beach,CA,,7.4,3.4,4.0,1.9,9.4,5.9,13.0,7.9,8.9,2017
"652,526",Norwalk,CA,,7.8,4.5,5.1,2.7,13.3,11.5,23.6,12.8,12.4,2017
"653,000",Oakland,CA,,9.8,5.1,5.3,3.3,14.3,11.0,21.5,12.4,12.2,2017
"653,322",Oceanside,CA,,8.3,5.3,5.0,2.7,14.0,8.7,19.2,12.1,12.0,2017
"653,896",Ontario,CA,,8.8,5.5,5.9,3.1,15.6,12.0,27.7,15.0,13.4,2017
"653,980",Orange,CA,,7.9,4.7,5.0,2.5,12.8,8.7,19.2,11.4,11.5,2017
"654,652",Oxnard,CA,,8.5,5.2,5.8,3.0,14.0,12.2,25.6,15.0,13.6,2017
"655,156",Palmdale,CA,,9.1,6.1,5.9,3.4,16.6,12.1,25.0,14.9,14.5,2017
"656,000",Pasadena,CA,,7.8,4.1,4.4,2.4,11.4,8.9,17.9,10.1,10.5,2017
"656,700",Perris,CA,,9.1,6.3,6.9,3.7,17.5,13.9,30.0,16.9,15.1,2017
"657,792",Pleasanton,CA,,8.0,3.4,3.8,1.8,9.3,6.1,14.0,7.6,8.6,2017
"658,072",Pomona,CA,,8.4,5.3,5.8,3.2,15.1,12.8,25.7,14.8,13.8,2017
"659,451",Rancho Cucamonga,CA,,8.2,4.3,4.6,2.3,12.6,8.6,20.5,10.5,10.7,2017
"659,920",Redding,CA,,9.7,6.7,5.8,3.0,17.5,8.4,20.0,13.0,13.6,2017
"659,962",Redlands,CA,,8.5,4.7,4.7,2.4,13.5,8.4,20.7,11.2,11.3,2017
"660,018",Redondo Beach,CA,,7.4,3.4,3.7,1.8,9.6,6.4,13.6,7.6,9.0,2017
"660,102",Redwood City,CA,,8.0,4.2,4.5,2.2,11.4,8.1,18.2,10.5,10.6,2017
"660,466",Rialto,CA,,9.3,5.9,6.2,3.5,16.6,13.1,29.1,15.9,14.2,2017
"660,620",Richmond,CA,,9.5,5.4,5.6,3.4,15.4,11.9,23.1,13.6,13.1,2017
"662,000",Riverside,CA,,8.6,5.6,5.8,3.0,15.7,10.5,24.6,13.6,13.2,2017
"662,938",Roseville,CA,,8.6,4.7,4.6,2.3,12.4,7.1,16.9,10.1,10.9,2017
"664,000",Sacramento,CA,,10.1,5.8,5.7,3.2,15.7,10.7,21.7,13.3,13.0,2017
"664,224",Salinas,CA,,9.0,6.0,6.3,3.3,15.1,12.6,27.7,16.5,14.7,2017
"665,000",San Bernardino,CA,,9.9,7.5,7.2,4.2,19.7,14.4,31.8,18.7,16.0,2017
"665,042",San Buenaventura (Ventura),CA,,8.4,4.8,4.7,2.3,12.5,8.0,18.3,11.0,11.5,2017
"666,000",San Diego,CA,,7.8,4.5,4.6,2.5,12.1,8.5,17.9,10.9,10.7,2017
"667,000",San Francisco,CA,,7.6,3.9,4.5,2.3,11.2,8.9,17.0,9.6,9.8,2017
"668,000",San Jose,CA,,7.5,3.9,4.4,2.3,11.2,9.1,19.8,10.2,10.2,2017
"668,084",San Leandro,CA,,8.8,4.5,4.8,2.5,13.0,9.4,20.5,10.8,11.0,2017
"668,196",San Marcos,CA,,8.2,5.2,5.0,2.7,13.5,8.6,19.2,12.1,11.9,2017
"668,252",San Mateo,CA,,7.8,3.9,4.2,2.1,10.6,7.7,17.0,9.4,9.8,2017
"668,378",San Ramon,CA,,7.3,2.9,3.6,1.7,8.3,6.4,13.1,7.1,7.9,2017
"669,000",Santa Ana,CA,,8.3,5.5,6.4,3.3,15.7,13.6,27.9,16.7,14.6,2017
