year,rows,file
2016,500,../cleaned_health_outcomes_data/500cities_city_2016.csv
2017,500,../cleaned_health_outcomes_data/500cities_city_2017.csv
2018,500,../cleaned_health_outcomes_data/500cities_city_2018.csv
2019,500,../cleaned_health_outcomes_data/500cities_city_2019.csv
