place_fips,place_name,state,pop_2010,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
1254200,Palm Coast,FL,,8.0,7.1,6.1,3.1,20.6,9.8,27.9,12.7,13.3,2018
2270000,Shreveport,LA,,9.8,7.9,7.3,4.5,23.6,13.7,31.3,14.5,14.3,2018
5010675,Burlington,VT,,10.6,6.0,5.6,2.9,16.2,7.9,18.1,11.7,12.8,2018
1270600,Tallahassee,FL,,8.1,6.7,5.7,3.4,16.1,10.3,26.4,12.3,13.0,2018
5367000,Spokane,WA,,11.0,7.5,6.3,3.2,19.7,9.6,19.9,13.6,13.8,2018
3050200,Missoula,MT,,9.2,6.1,5.6,2.8,18.8,7.6,17.9,11.4,11.4,2018
0608954,Burbank,CA,,8.1,4.9,4.7,2.4,12.3,8.1,16.4,10.4,11.1,2018
3915000,Cincinnati,OH,,10.8,8.3,7.0,4.3,22.7,13.9,30.4,14.3,14.6,2018
0627000,Fresno,CA,,9.7,7.1,6.6,3.7,17.0,12.8,27.0,15.1,14.3,2018
4835000,Houston,TX,,8.8,6.1,6.5,3.6,16.0,13.4,30.4,13.5,12.6,2018
0633434,Hesperia,CA,,10.1,7.6,6.9,3.7,18.2,11.9,26.0,15.6,15.1,2018
5613900,Cheyenne,WY,,8.6,6.0,5.4,2.6,19.9,8.2,23.4,11.0,11.7,2018
0669000,Santa Ana,CA,,8.8,6.3,6.6,3.4,15.7,13.9,28.8,16.2,13.8,2018
3663000,Rochester,NY,,12.5,8.8,7.3,4.6,24.0,13.7,33.3,16.6,15.9,2018
5135000,Hampton,VA,,9.7,6.4,6.0,3.6,19.6,12.1,24.5,12.3,12.7,2018
0668084,San Leandro,CA,,8.7,4.7,4.9,2.5,14.1,9.8,20.5,10.7,11.1,2018
5502375,Appleton,WI,,8.9,5.5,5.7,2.6,17.8,8.3,19.1,10.8,11.8,2018
2052575,Olathe,KS,,8.7,4.7,4.9,2.3,14.7,7.6,17.4,8.2,9.4,2018
3456550,Passaic,NJ,,9.1,8.1,7.7,4.1,21.0,14.3,44.9,17.8,15.2,2018
1304000,Atlanta,GA,,9.0,6.4,6.0,4.1,16.8,12.8,27.1,12.1,11.8,2018
0659962,Redlands,CA,,9.0,5.1,5.0,2.5,13.3,8.7,18.1,10.9,11.7,2018
0613588,Citrus Heights,CA,,10.1,6.5,5.7,2.9,16.6,8.7,19.7,12.5,13.2,2018
1210275,Cape Coral,FL,,7.6,7.0,6.1,2.9,17.6,9.0,26.3,12.4,12.8,2018
0669196,Santa Maria,CA,,9.5,7.1,6.7,3.6,16.9,12.7,29.0,16.3,14.7,2018
4856000,Pasadena,TX,,8.5,6.7,6.9,3.3,16.9,12.5,32.1,14.5,13.5,2018
5164000,Portsmouth,VA,,10.2,7.0,6.1,3.8,22.6,12.4,27.8,13.1,13.5,2018
0602364,Apple Valley,CA,,10.1,7.0,6.2,3.3,17.6,10.4,22.6,14.0,14.4,2018
0611530,Carson,CA,,8.0,4.4,4.7,2.7,12.2,10.9,21.1,11.0,11.0,2018
2938000,Kansas City,MO,,10.2,7.4,6.2,3.6,22.0,11.7,25.1,13.9,13.8,2018
3725580,Gastonia,NC,,9.4,7.8,7.0,3.9,21.8,11.7,27.2,14.5,14.6,2018
3128000,Lincoln,NE,,8.2,5.1,5.2,2.6,17.3,7.9,20.5,9.1,10.4,2018
2743000,Minneapolis,MN,,8.4,4.5,5.3,3.0,16.6,8.3,18.6,9.6,10.3,2018
0524550,Fort Smith,AR,,10.2,9.0,7.8,3.9,25.7,12.4,35.0,17.2,16.9,2018
0803455,Arvada,CO,,9.0,4.5,4.7,2.3,16.3,5.9,13.6,9.7,10.5,2018
1718823,Decatur,IL,,10.7,8.0,6.7,3.7,23.2,11.0,29.7,14.7,14.4,2018
3421000,Elizabeth,NJ,,8.8,7.4,7.0,3.6,19.7,13.1,41.1,16.4,14.2,2018
0681554,Vacaville,CA,,9.1,5.5,5.4,2.7,15.2,9.0,19.4,11.0,11.8,2018
0616532,Costa Mesa,CA,,8.4,5.4,5.4,2.6,13.3,9.1,18.0,11.7,11.4,2018
2038900,Lawrence,KS,,9.1,5.4,5.5,2.7,16.5,8.3,19.4,10.3,10.9,2018
0623182,Fairfield,CA,,9.4,5.7,5.5,2.9,15.2,10.4,22.3,11.9,12.3,2018
4967440,Sandy,UT,,8.6,3.9,4.3,2.2,9.5,6.9,13.9,9.0,10.5,2018
0667000,San Francisco,CA,,7.8,4.0,4.5,2.3,11.5,8.8,17.9,9.0,9.8,2018
1276600,West Palm Beach,FL,,8.0,7.0,6.4,3.5,17.6,11.6,31.0,13.9,13.2,2018
1608830,Boise City,ID,,9.0,5.1,5.3,2.6,13.9,8.2,18.1,10.3,11.9,2018
0684550,Westminster,CA,,7.8,5.4,5.6,2.8,14.5,11.8,23.9,12.3,11.6,2018
4105350,Beaverton,OR,,9.6,5.1,5.1,2.5,14.3,7.8,14.9,10.3,11.4,2018
0619766,Downey,CA,,7.9,4.8,5.0,2.6,12.0,10.2,21.4,12.1,11.5,2018
2836000,Jackson,MS,,10.0,7.5,7.1,5.1,21.7,15.4,33.3,15.1,14.8,2018
1656260,Nampa,ID,,10.0,6.9,6.7,3.5,19.0,10.1,25.8,13.6,14.1,2018
0654652,Oxnard,CA,,8.7,5.9,6.2,3.2,14.8,12.3,28.0,14.2,13.2,2018
0656000,Pasadena,CA,,7.9,4.5,4.6,2.5,11.0,9.0,17.2,10.3,10.5,2018
0648256,Mission Viejo,CA,,8.0,4.3,4.4,2.0,11.0,7.1,13.3,9.0,9.6,2018
0636448,Indio,CA,,8.7,6.1,6.4,3.2,15.5,11.3,27.4,14.5,13.3,2018
1805860,Bloomington,IN,,10.2,7.1,6.4,3.1,19.4,10.0,25.2,12.4,13.2,2018
3988000,Youngstown,OH,,11.3,10.8,8.6,5.4,30.9,16.7,41.2,18.2,17.3,2018
3722920,Fayetteville,NC,,9.1,6.7,6.4,3.7,18.8,12.4,24.4,12.6,13.6,2018
3719000,Durham,NC,,8.8,5.9,5.9,3.5,16.3,11.0,23.2,11.6,12.2,2018
3918000,Columbus,OH,,10.0,7.7,6.5,3.7,22.2,11.4,27.2,13.0,14.1,2018
0950370,New Britain,CT,,11.3,7.3,6.6,3.4,19.6,11.9,31.3,14.4,14.2,2018
4848768,Mission,TX,,7.8,5.7,6.4,3.2,14.3,12.7,28.6,13.6,12.2,2018
0653896,Ontario,CA,,9.3,6.0,6.1,3.2,15.0,12.0,25.5,14.2,13.3,2018
