County Code,State Name,County Name,City Name,Parameter Name,Sample Duration,Units of Measure,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,Observation Count,Observation Percent,Completeness Indicator
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039545,0.010269,0.066,0.064,0.063,0.063,5860,100,Y
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.039545,0.010269,0.066,0.064,0.063,0.063,5860,100,Y
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.03937,0.010307,0.066,0.064,0.063,0.063,4152,99,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.317391,3.755236,33.6,15.7,14.6,14.5,115,94,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.317391,3.755236,33.6,15.7,14.6,14.5,115,94,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.317391,3.755236,33.6,15.7,14.6,14.5,115,94,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.317391,3.755236,33.6,15.7,14.6,14.5,115,94,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.317391,3.755236,33.6,15.7,14.6,14.5,115,94,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.317391,3.755236,33.6,15.7,14.6,14.5,115,94,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.317391,3.755236,33.6,15.7,14.6,14.5,115,94,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.317391,3.755236,33.6,15.7,14.6,14.5,115,94,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.88087,3.376256,18.4,17.5,15.4,14.6,115,94,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.88087,3.376256,18.4,17.5,15.4,14.6,115,94,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.88087,3.376256,18.4,17.5,15.4,14.6,115,94,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.88087,3.376256,18.4,17.5,15.4,14.6,115,94,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.88087,3.376256,18.4,17.5,15.4,14.6,115,94,Y
