county_fips,State Name,County Name,City Name,Parameter Name,Sample Duration,Units of Measure,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,Observation Count,Observation Percent,Completeness Indicator
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.036282,0.010159,0.062,0.058,0.058,0.057,5534,93,Y
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.036282,0.010159,0.062,0.058,0.058,0.057,5534,93,Y
01003,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.036308,0.010142,0.062,0.058,0.058,0.057,3920,93,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.846903,3.364018,17.7,17.2,16.7,14.7,113,93,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.846903,3.364018,17.7,17.2,16.7,14.7,113,93,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.846903,3.364018,17.7,17.2,16.7,14.7,113,93,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.846903,3.364018,17.7,17.2,16.7,14.7,113,93,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.846903,3.364018,17.7,17.2,16.7,14.7,113,93,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.846903,3.364018,17.7,17.2,16.7,14.7,113,93,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.846903,3.364018,17.7,17.2,16.7,14.7,113,93,Y
01003,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.846903,3.364018,17.7,17.2,16.7,14.7,113,93,Y
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.835238,3.766859,28.8,15.9,14.2,14.1,105,85,N
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.835238,3.766859,28.8,15.9,14.2,14.1,105,85,N
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.835238,3.766859,28.8,15.9,14.2,14.1,105,85,N
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.835238,3.766859,28.8,15.9,14.2,14.1,105,85,N
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.835238,3.766859,28.8,15.9,14.2,14.1,105,85,N
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.835238,3.766859,28.8,15.9,14.2,14.1,105,85,N
01027,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.835238,3.766859,28.8,15.9,14.2,14.1,105,85,N
