County Code,State Name,County Name,City Name,Parameter Name,Sample Duration,Units of Measure,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,Observation Count,Observation Percent,Completeness Indicator
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.037963,0.009691,0.058,0.057,0.056,0.056,5817,98,Y
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.037963,0.009691,0.058,0.057,0.056,0.056,5817,98,Y
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.037813,0.009764,0.058,0.057,0.056,0.056,4121,98,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.268103,2.995173,15.4,15.3,14.6,14.3,116,95,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.268103,2.995173,15.4,15.3,14.6,14.3,116,95,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.268103,2.995173,15.4,15.3,14.6,14.3,116,95,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.268103,2.995173,15.4,15.3,14.6,14.3,116,95,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.268103,2.995173,15.4,15.3,14.6,14.3,116,95,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.268103,2.995173,15.4,15.3,14.6,14.3,116,95,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.268103,2.995173,15.4,15.3,14.6,14.3,116,95,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.268103,2.995173,15.4,15.3,14.6,14.3,116,95,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.807273,3.373744,19.5,18.2,15.9,14.8,110,90,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.807273,3.373744,19.5,18.2,15.9,14.8,110,90,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.807273,3.373744,19.5,18.2,15.9,14.8,110,90,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.807273,3.373744,19.5,18.2,15.9,14.8,110,90,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.807273,3.373744,19.5,18.2,15.9,14.8,110,90,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.807273,3.373744,19.5,18.2,15.9,14.8,110,90,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.807273,3.373744,19.5,18.2,15.9,14.8,110,90,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),6.807273,3.373744,19.5,18.2,15.9,14.8,110,90,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.742982,4.005018,24.5,23.3,17.8,17.7,114,93,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.742982,4.005018,24.5,23.3,17.8,17.7,114,93,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.742982,4.005018,24.5,23.3,17.8,17.7,114,93,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.742982,4.005018,24.5,23.3,17.8,17.7,114,93,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.742982,4.005018,24.5,23.3,17.8,17.7,114,93,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.742982,4.005018,24.5,23.3,17.8,17.7,114,93,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.742982,4.005018,24.5,23.3,17.8,17.7,114,93,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.742982,4.005018,24.5,23.3,17.8,17.7,114,93,Y
49,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.040818,0.009895,0.065,0.062,0.059,0.058,8632,96,Y
49,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.040818,0.009895,0.065,0.062,0.059,0.058,8632,96,Y
49,Alabama,DeKalb,Crossville,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.040556,0.010022,0.065,0.062,0.059,0.058,6128,98,Y
51,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.034531,0.010042,0.066,0.062,0.056,0.054,5818,98,Y
51,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.034531,0.010042,0.066,0.062,0.056,0.054,5818,98,Y
51,Alabama,Elmore,Wetumpka,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.034492,0.010105,0.066,0.062,0.056,0.054,4120,98,Y
55,Alabama,Etowah,Gadsden,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.514943,4.389695,24.5,21.1,20.2,17.6,87,71,N
55,Alabama,Etowah,Gadsden,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.514943,4.389695,24.5,21.1,20.2,17.6,87,71,N
55,Alabama,Etowah,Gadsden,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.514943,4.389695,24.5,21.1,20.2,17.6,87,71,N
55,Alabama,Etowah,Gadsden,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.514943,4.389695,24.5,21.1,20.2,17.6,87,71,N
55,Alabama,Etowah,Gadsden,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.514943,4.389695,24.5,21.1,20.2,17.6,87,71,N
55,Alabama,Etowah,Gadsden,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.514943,4.389695,24.5,21.1,20.2,17.6,87,71,N
55,Alabama,Etowah,Gadsden,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.514943,4.389695,24.5,21.1,20.2,17.6,87,71,N
55,Alabama,Etowah,Gadsden,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),8.514943,4.389695,24.5,21.1,20.2,17.6,87,71,N
55,Alabama,Etowah,Southside,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.037885,0.010482,0.06,0.059,0.059,0.058,5855,100,Y
55,Alabama,Etowah,Southside,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.037885,0.010482,0.06,0.059,0.059,0.058,5855,100,Y
