County Code,State Name,County Name,City Name,Parameter Name,Sample Duration,Units of Measure,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,Observation Count,Observation Percent,Completeness Indicator
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.040624,0.011092,0.066,0.065,0.063,0.062,5674,96,Y
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.040624,0.011092,0.066,0.065,0.063,0.062,5674,96,Y
3,Alabama,Baldwin,Fairhope,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.040509,0.011027,0.066,0.065,0.063,0.062,4016,95,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.226446,2.656494,20.1,14.4,13.8,12.8,121,99,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.226446,2.656494,20.1,14.4,13.8,12.8,121,99,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.226446,2.656494,20.1,14.4,13.8,12.8,121,99,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.226446,2.656494,20.1,14.4,13.8,12.8,121,99,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.226446,2.656494,20.1,14.4,13.8,12.8,121,99,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.226446,2.656494,20.1,14.4,13.8,12.8,121,99,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.226446,2.656494,20.1,14.4,13.8,12.8,121,99,Y
3,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.226446,2.656494,20.1,14.4,13.8,12.8,121,99,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.363793,2.709673,14.3,13.7,13.1,12.1,116,95,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.363793,2.709673,14.3,13.7,13.1,12.1,116,95,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.363793,2.709673,14.3,13.7,13.1,12.1,116,95,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.363793,2.709673,14.3,13.7,13.1,12.1,116,95,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.363793,2.709673,14.3,13.7,13.1,12.1,116,95,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.363793,2.709673,14.3,13.7,13.1,12.1,116,95,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.363793,2.709673,14.3,13.7,13.1,12.1,116,95,Y
27,Alabama,Clay,Ashland,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.363793,2.709673,14.3,13.7,13.1,12.1,116,95,Y
33,Alabama,Colbert,Muscle Shoals,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041151,0.010161,0.075,0.062,0.062,0.061,5773,98,Y
33,Alabama,Colbert,Muscle Shoals,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041151,0.010161,0.075,0.062,0.062,0.061,5773,98,Y
33,Alabama,Colbert,Muscle Shoals,Ozone,8-HR RUN AVG BEGIN HOUR,Parts per million,0.041113,0.010193,0.075,0.062,0.062,0.061,4091,97,Y
33,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.492241,3.266541,26.3,16.0,15.8,14.5,116,95,Y
33,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.492241,3.266541,26.3,16.0,15.8,14.5,116,95,Y
33,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.492241,3.266541,26.3,16.0,15.8,14.5,116,95,Y
33,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.492241,3.266541,26.3,16.0,15.8,14.5,116,95,Y
33,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.492241,3.266541,26.3,16.0,15.8,14.5,116,95,Y
33,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.492241,3.266541,26.3,16.0,15.8,14.5,116,95,Y
33,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.492241,3.266541,26.3,16.0,15.8,14.5,116,95,Y
33,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.492241,3.266541,26.3,16.0,15.8,14.5,116,95,Y
49,Alabama,DeKalb,Crossville,PM2.5 - Local Conditions,24 HOUR,Micrograms/cubic meter (LC),7.69569,4.269617,42.7,13.5,13.4,13.2,116,95,Y
